Lookup,Yr,Org4Code,DistName,Expr1,FTEPupils,Value(FTEPupils)
01642016FTEIn,2016,0164,Lynnfield,FTEIn,"2,231.5","2,231.5"
01642016FTEOut,2016,0164,Lynnfield,FTEOut,19.4,19.4
01642016FTEs,2016,0164,Lynnfield,FTEs,"2,250.9","2,250.9"
01652016FTEIn,2016,0165,Malden,FTEIn,"6,576.1","6,576.1"
01652016FTEOut,2016,0165,Malden,FTEOut,967.5,967.5
01652016FTEs,2016,0165,Malden,FTEs,"7,543.6","7,543.6"
01672016FTEIn,2016,0167,Mansfield,FTEIn,"4,007.7","4,007.7"
01672016FTEOut,2016,0167,Mansfield,FTEOut,154.4,154.4
01672016FTEs,2016,0167,Mansfield,FTEs,"4,162.1","4,162.1"
01682016FTEIn,2016,0168,Marblehead,FTEIn,"3,185.2","3,185.2"
01682016FTEOut,2016,0168,Marblehead,FTEOut,217.7,217.7
01682016FTEs,2016,0168,Marblehead,FTEs,"3,402.9","3,402.9"
01692016FTEIn,2016,0169,Marion,FTEIn,441.7,441.7
01692016FTEOut,2016,0169,Marion,FTEOut,11.7,11.7
01692016FTEs,2016,0169,Marion,FTEs,453.4,453.4
01702016FTEIn,2016,0170,Marlborough,FTEIn,"4,523.4","4,523.4"
01702016FTEOut,2016,0170,Marlborough,FTEOut,677.5,677.5
01702016FTEs,2016,0170,Marlborough,FTEs,"5,200.9","5,200.9"
01712016FTEIn,2016,0171,Marshfield,FTEIn,"4,214.8","4,214.8"
01712016FTEOut,2016,0171,Marshfield,FTEOut,94.6,94.6
01712016FTEs,2016,0171,Marshfield,FTEs,"4,309.4","4,309.4"
01722016FTEIn,2016,0172,Mashpee,FTEIn,"1,625.3","1,625.3"
01722016FTEOut,2016,0172,Mashpee,FTEOut,147.1,147.1
01722016FTEs,2016,0172,Mashpee,FTEs,"1,772.4","1,772.4"
01732016FTEIn,2016,0173,Mattapoisett,FTEIn,480.1,480.1
01732016FTEOut,2016,0173,Mattapoisett,FTEOut,16.7,16.7
01732016FTEs,2016,0173,Mattapoisett,FTEs,496.8,496.8
01742016FTEIn,2016,0174,Maynard,FTEIn,"1,419.3","1,419.3"
01742016FTEOut,2016,0174,Maynard,FTEOut,106.5,106.5
01742016FTEs,2016,0174,Maynard,FTEs,"1,525.8","1,525.8"
01752016FTEIn,2016,0175,Medfield,FTEIn,"2,598.5","2,598.5"
01752016FTEOut,2016,0175,Medfield,FTEOut,37.7,37.7
01752016FTEs,2016,0175,Medfield,FTEs,"2,636.2","2,636.2"
01762016FTEIn,2016,0176,Medford,FTEIn,"4,339.9","4,339.9"
01762016FTEOut,2016,0176,Medford,FTEOut,435.3,435.3
01762016FTEs,2016,0176,Medford,FTEs,"4,775.2","4,775.2"
01772016FTEIn,2016,0177,Medway,FTEIn,"2,351.6","2,351.6"
01772016FTEOut,2016,0177,Medway,FTEOut,105.7,105.7
01772016FTEs,2016,0177,Medway,FTEs,"2,457.3","2,457.3"
01782016FTEIn,2016,0178,Melrose,FTEIn,"3,741.6","3,741.6"
01782016FTEOut,2016,0178,Melrose,FTEOut,305.5,305.5
01782016FTEs,2016,0178,Melrose,FTEs,"4,047.1","4,047.1"
01812016FTEIn,2016,0181,Methuen,FTEIn,"6,940.4","6,940.4"
01812016FTEOut,2016,0181,Methuen,FTEOut,255.2,255.2
01812016FTEs,2016,0181,Methuen,FTEs,"7,195.6","7,195.6"
01822016FTEIn,2016,0182,Middleborough,FTEIn,"3,000.5","3,000.5"
01822016FTEOut,2016,0182,Middleborough,FTEOut,131.0,131.0
01822016FTEs,2016,0182,Middleborough,FTEs,"3,131.5","3,131.5"
01842016FTEIn,2016,0184,Middleton,FTEIn,702.4,702.4
01842016FTEOut,2016,0184,Middleton,FTEOut,6.4,6.4
01842016FTEs,2016,0184,Middleton,FTEs,708.8,708.8
01852016FTEIn,2016,0185,Milford,FTEIn,"4,097.3","4,097.3"
01852016FTEOut,2016,0185,Milford,FTEOut,281.0,281.0
